ec,lec,total_voters,total_ballots,local_ballots,distant_ballots,unused_ballots,in_mobile_boxes,in_stationary_boxes,spoiled_ballots,valid_ballots,lost_ballots,unaccounted_ballots,amosov,beglov,tikhonova,amosov_share,beglov_share,tikhonova_share,turnout(%)
tec2,2312,220,300,193,27,80,27,193,5,215,0,0,23,179,13,10.454545454545453,81.36363636363636,5.909090909090909,100.0
tec2,2313,281,300,191,15,94,15,191,2,204,0,0,27,156,21,13.106796116504855,75.72815533980582,10.194174757281553,73.30960854092527
tec2,2376,260,450,250,10,190,10,250,4,256,0,0,19,219,18,7.307692307692308,84.23076923076923,6.923076923076923,100.0
tec2,2377,208,250,165,3,82,3,165,2,166,0,0,4,155,7,2.380952380952381,92.26190476190477,4.166666666666666,80.76923076923077
tec3,576,1805,1500,466,9,1025,9,463,19,453,0,0,93,255,105,19.703389830508474,54.02542372881356,22.245762711864405,26.31578947368421
tec3,577,1735,1500,425,61,1014,61,425,15,471,0,0,97,279,95,19.958847736625515,57.407407407407405,19.54732510288066,28.01152737752161
tec3,578,1645,1500,344,14,1142,14,344,6,352,0,0,72,197,83,20.11173184357542,55.02793296089386,23.18435754189944,21.762917933130698
tec3,579,1708,1500,456,3,1041,3,454,16,441,0,0,106,261,74,23.194748358862142,57.11159737417943,16.192560175054705,26.87353629976581
tec3,580,2069,1500,426,6,1068,6,426,12,420,0,0,83,246,91,19.212962962962962,56.94444444444444,21.064814814814813,20.879652005799905
tec3,581,1874,1500,458,1,1041,1,456,9,448,0,0,101,273,74,22.100656455142232,59.73741794310722,16.192560175054705,24.493062966915687
tec3,582,1580,1000,535,18,447,18,534,31,521,0,0,95,347,79,17.21014492753623,62.86231884057971,14.31159420289855,35.0
tec3,583,2089,2000,505,13,1482,13,505,14,504,0,0,75,348,81,14.478764478764477,67.18146718146718,15.637065637065636,24.796553374820487
tec3,584,2045,2000,430,8,1562,8,429,10,427,0,0,73,276,78,16.704805491990847,63.1578947368421,17.84897025171625,21.418092909535453
tec3,585,1773,1500,485,6,1009,6,485,20,471,0,0,92,283,96,18.73727087576375,57.63747454175153,19.551934826883908,27.693175408911447
tec3,586,1542,1100,452,5,643,5,447,10,442,0,0,30,367,45,6.637168141592921,81.19469026548673,9.955752212389381,29.636835278858626
tec3,587,1527,2000,583,31,1386,31,552,19,564,0,0,91,414,59,15.608919382504288,71.01200686106347,10.120068610634648,40.20956123117223
tec3,588,1771,1500,538,6,956,6,518,22,502,0,0,72,337,93,13.740458015267176,64.31297709923665,17.748091603053435,30.71710897797854
tec3,589,1868,1500,561,8,931,8,553,23,538,0,0,69,380,89,12.299465240641712,67.7361853832442,15.86452762923351,30.460385438972164
tec3,590,1046,1000,335,0,665,0,317,14,303,0,0,37,187,79,11.67192429022082,58.99053627760252,24.9211356466877,32.026768642447415
tec3,591,2271,2000,740,13,1247,13,734,51,696,0,0,92,488,116,12.315930388219545,65.32797858099063,15.528781793842034,33.15719947159842
tec3,592,1338,1000,338,6,656,6,337,5,338,0,0,81,187,70,23.61516034985423,54.518950437317784,20.408163265306122,25.710014947683106
tec3,593,2318,2000,580,5,1415,5,580,22,563,0,0,131,315,117,22.393162393162395,53.84615384615385,20.0,25.237273511647974
tec3,594,1443,1100,389,11,700,11,389,16,384,0,0,114,207,63,28.499999999999996,51.74999999999999,15.75,27.72002772002772
tec3,595,1398,1100,373,14,713,14,373,5,382,0,0,84,226,72,21.705426356589147,58.39793281653747,18.6046511627907,27.682403433476395
tec3,596,1629,1500,426,9,1065,9,426,13,422,0,0,100,261,61,22.988505747126435,60.0,14.022988505747128,26.703499079189687
tec3,597,2035,2000,454,10,1536,10,452,13,449,0,0,82,279,88,17.74891774891775,60.3896103896104,19.047619047619047,22.8009828009828
tec3,598,2179,2000,513,13,1474,13,512,6,519,0,0,126,293,100,24.0,55.80952380952381,19.047619047619047,24.13951353832033
tec3,599,1297,1000,309,5,686,5,308,3,310,0,0,65,173,72,20.766773162939298,55.27156549520767,23.003194888178914,24.20971472629144
tec3,600,1033,1000,283,1,716,1,283,9,275,0,0,58,157,60,20.422535211267608,55.28169014084507,21.12676056338028,27.49273959341723
tec3,601,1486,1200,328,11,861,11,328,10,329,0,0,98,172,59,28.908554572271388,50.737463126843664,17.404129793510325,22.81292059219381
tec3,602,1436,1100,345,5,750,5,345,3,347,0,0,58,201,88,16.57142857142857,57.42857142857143,25.142857142857146,24.37325905292479
tec3,603,2543,2000,588,13,1399,13,587,22,578,0,0,134,330,114,22.333333333333332,55.00000000000001,19.0,23.633503735745183
tec3,604,2604,2000,683,17,1300,17,679,21,675,0,0,109,426,140,15.660919540229884,61.206896551724135,20.114942528735632,26.881720430107524
tec3,605,1493,1500,422,11,1067,11,422,15,418,0,0,88,246,84,20.323325635103924,56.812933025404156,19.399538106235568,29.002009377093103
tec3,606,1485,1100,401,3,696,3,400,10,393,0,0,91,224,78,22.58064516129032,55.58312655086849,19.35483870967742,27.205387205387204
tec3,607,1552,1500,372,11,1117,11,372,9,374,0,0,68,236,70,17.75456919060052,61.61879895561357,18.27676240208877,24.677835051546392
tec3,608,1616,1500,383,3,1114,3,383,18,368,0,0,38,251,79,9.844559585492227,65.02590673575129,20.466321243523318,23.886138613861384
tec3,609,1531,1500,353,9,1138,9,353,10,352,0,0,54,224,74,14.917127071823206,61.87845303867403,20.441988950276244,23.64467668190725
tec3,610,1427,1500,365,7,1128,7,365,9,363,0,0,55,239,69,14.78494623655914,64.24731182795699,18.548387096774192,26.06867554309741
tec3,611,1717,1500,472,5,1023,5,470,21,454,0,0,82,284,88,17.263157894736842,59.78947368421053,18.526315789473685,27.781013395457194
tec3,612,1591,1500,375,11,1114,11,375,6,380,0,0,35,300,45,9.067357512953368,77.720207253886,11.658031088082902,24.26147077309868
tec3,613,1468,1500,427,8,1065,8,427,12,423,0,0,63,281,79,14.482758620689657,64.59770114942529,18.160919540229887,29.63215258855586
tec3,614,1570,1500,377,6,1117,6,377,15,368,0,0,75,228,65,19.5822454308094,59.530026109660575,16.971279373368144,24.394904458598727
tec3,615,1465,1500,380,4,1116,4,379,14,369,0,0,31,299,39,8.093994778067886,78.06788511749347,10.182767624020887,26.21160409556314
tec3,616,2547,2000,682,12,1306,12,678,30,660,0,0,120,430,110,17.391304347826086,62.31884057971014,15.942028985507244,27.24774244208873
tec3,617,2479,2000,583,9,1408,9,583,14,578,0,0,83,424,71,14.020270270270272,71.62162162162163,11.993243243243242,23.88059701492537
tec3,618,2015,2000,516,11,1473,11,507,14,504,0,0,86,340,78,16.602316602316602,65.63706563706563,15.057915057915059,26.153846153846157
tec3,619,2448,2500,547,7,1946,7,547,14,540,0,0,105,378,57,18.95306859205776,68.23104693140795,10.288808664259928,22.630718954248366
tec3,620,2291,2000,603,12,1385,12,599,14,597,0,0,89,439,69,14.566284779050736,71.84942716857611,11.292962356792144,26.84417285028372
tec3,621,1680,1500,398,29,1073,29,396,14,411,0,0,63,273,75,14.823529411764705,64.23529411764706,17.647058823529413,25.416666666666664
